t,x,tf,ts
0.53220624,0.092,3.3650587,2.3169193
0.4147781,0.986,0.9999478,1.0000511
0.5724844,0.104,3.3484828,2.4145768
0.34860626,0.09,2.7979746,1.4433415
0.21351562,0.699,1.0000385,1.0001814
0.62045,0.652,1.1120013,1.0537776
0.699875,0.374,2.1753404,1.7543124
0.5399125,0.424,1.424307,1.2030345
0.20965625,0.758,1.0000085,1.0001967
0.6489844,0.085,3.5484293,2.6927207
0.29826564,0.122,1.5639713,1.0725759
0.26657814,0.159,1.008846,1.000664
0.5831031,0.702,1.0358052,1.01637
0.07404062,0.642,1.0001242,1.0001266
0.18878438,0.971,0.9999302,1.0002276
0.8777281,0.825,1.2298975,1.1347716
0.5386875,0.23,2.4489882,1.7961631
0.2852,0.16,1.0789002,1.0091898
0.68785936,0.478,1.6950787,1.4089155
0.34965,0.105,2.6012595,1.4005793
0.5357937,0.045,3.6890883,2.4535656
0.8522125,0.331,2.7345695,2.2967186
0.8176719,0.423,2.2695909,1.8828081
0.5878375,0.657,1.0683802,1.0315273
0.5487,0.58,1.095539,1.0426117
0.168375,0.047,1.0000188,1.0001715
0.33147812,0.212,1.2688665,1.0586531
0.16375,0.938,0.9999461,1.0002127
0.8211719,0.723,1.317061,1.1839739
0.10628437,0.655,1.0001192,1.0001432
0.14460938,0.133,1.000148,1.0000116
0.821625,0.657,1.4668533,1.282079
0.28113437,0.411,1.0001973,0.99997574
0.08136562,0.208,1.0000434,0.99994093
0.54214686,0.467,1.2949575,1.1377646
0.30480936,0.205,1.0851939,1.0140892
0.7044875,0.53,1.5586462,1.323425
0.34082812,0.248,1.1743655,1.0419004
0.8626469,0.148,3.4748707,2.958567
0.4214125,0.474,1.0279328,1.0096927
0.27840313,0.886,0.99998003,1.0002083
0.15299375,0.376,1.0000355,1.0000463
0.8629063,0.705,1.4316976,1.2633789
0.8484219,0.029,3.8933556,3.178795
0.11491875,0.073,1.0003216,1.000164
0.9455031,0.698,1.610245,1.3996619
0.4366625,0.233,1.9517999,1.3859166
0.19215937,0.633,1.0000665,1.0001602
0.474425,0.676,1.0030895,1.001412
0.5342031,0.229,2.4393737,1.7836577
0.07443125,0.144,1.0001154,0.99996156
0.90980315,0.739,1.4407309,1.2750058
0.533,0.634,1.0351082,1.0152633
0.9357,0.594,1.903046,1.6207731
0.48566562,0.824,1.0003158,1.0001444
0.0733125,0.727,1.0000925,1.0001366
0.73340315,0.92,1.0276338,1.0140797
0.7792969,0.757,1.1935246,1.1052895
0.6118719,0.398,1.7854658,1.4389158
0.112678126,0.823,1.0000321,1.00017
0.7196531,0.546,1.5468872,1.3189371
0.8255531,0.21,3.1922014,2.6863158
0.5565781,0.754,1.0096195,1.0043851
0.23543437,0.986,0.99993086,1.0002367
0.11102188,0.926,0.9999873,1.0001774
0.5275125,0.838,1.001065,1.000425
0.77017814,0.152,3.3629491,2.7696683
0.2827969,0.964,0.9999579,1.0002196
0.9118125,0.898,1.1780577,1.1095794
0.42676562,0.576,1.0037254,1.001425
0.29675624,0.318,1.0004708,1.0000373
0.3042344,0.983,0.9999736,1.0002089
0.69867814,0.7,1.1596743,1.0820918
0.006975,0.768,1.0000231,1.0000793
0.9119656,0.374,2.6756785,2.271366
0.734525,0.666,1.2747353,1.1504775
0.09321562,0.345,1.0000614,1.0000191
0.53171873,0.431,1.371907,1.173993
0.14410312,0.19,1.0000458,0.99997574
0.45708126,0.688,1.0011935,1.0005894
0.56865937,0.893,1.0013928,1.0003868
0.9042063,0.206,3.307462,2.8507025
0.2602875,0.045,1.5197742,1.0090051
0.91055626,0.588,1.8675052,1.5879457
0.58045936,0.879,1.0024658,1.0008376
0.25195,0.495,1.0001255,1.0000815
0.77905,0.903,1.0574408,1.0305005
0.38664374,0.693,1.0001521,0.99999017
0.87009686,0.646,1.598747,1.3803872
0.052496877,0.77,1.0000658,1.0001239
0.023896875,0.262,1.0000378,0.9998637
0.95607185,0.567,2.0390646,1.7342778
0.68219376,0.386,2.067218,1.6653874
0.30955625,0.546,1.0002416,1.0000142
0.46715313,0.279,1.807796,1.3541325
0.4945906,0.971,0.999822,0.99988085
0.22500312,0.913,0.9999345,1.0002265
0.03591875,0.811,1.0000397,1.0001097
0.48319688,0.196,2.4729054,1.7177632
0.6902437,0.695,1.1544676,1.0788704
0.44315624,0.02,3.8224492,2.1315198
0.3841,0.708,1.0001605,0.999999
0.44604063,0.139,2.782309,1.7859869
0.12538438,0.589,1.0001246,1.0001334
0.74691874,0.103,3.550526,2.8688948
0.26675624,0.447,1.0001687,1.0000324
0.41478124,0.298,1.4047985,1.1441346
0.7092094,0.138,3.3517854,2.679297
0.6320094,0.392,1.880749,1.5104421
0.1558,0.01,0.99974465,1.0003217
0.71251565,0.504,1.6691878,1.3984988
0.09795625,0.945,0.9999906,1.000168
0.11436875,0.223,1.0000294,0.99997014
0.31944376,0.983,0.9999855,1.0001957
0.47967812,0.585,1.0214823,1.0085187
0.89074063,0.713,1.4656838,1.289819
0.6482281,0.286,2.4673607,1.935661
0.34482813,0.663,1.0002269,1.000027
0.94904375,0.381,2.7179487,2.3245423
0.10993125,0.32,1.0000389,1.0000106
0.8248625,0.017,3.9343908,3.1520283
0.94948125,0.869,1.261821,1.1643063
0.546725,0.948,1.0001223,0.99988455
0.7048,0.698,1.171319,1.0888262
0.22241563,0.005,1.0073371,0.9988437
0.16214688,0.379,1.0000291,1.0000478
0.79780936,0.771,1.1991551,1.1097051
0.27048126,0.949,0.9999495,1.0002233
0.66192186,0.372,2.0711312,1.6571413
0.87855935,0.125,3.5702615,3.0482056
0.88411564,0.499,2.1246157,1.7863663
0.30265313,0.238,1.0237669,1.0042268
0.15735,0.591,1.0000981,1.0001409
0.23801562,0.281,1.0000708,0.9999488
0.82769686,0.41,2.3480532,1.9515716
0.16788438,0.301,0.99998724,1.0000056
0.6796687,0.9,1.015146,1.0068246
0.66630936,0.251,2.701671,2.1306472
0.55574685,0.855,1.0018753,1.0006886
0.031365626,0.416,1.0000826,1.00001
0.9491,0.969,1.1556364,1.1078012
0.10648125,0.952,0.99998397,1.0001755
0.46907812,0.25,2.011148,1.4553059
0.6698125,0.427,1.846169,1.5044142
0.9013375,0.717,1.4762087,1.2983776
0.74015,0.84,1.0681536,1.0338116
0.22305937,0.232,1.000034,0.9999284
0.39756563,0.062,3.3565788,1.8185359
0.1452,0.496,1.0001003,1.000104
0.297875,0.627,1.0001961,1.0000943
0.7816188,0.334,2.5718548,2.116578
0.3408125,0.64,1.0002328,1.000017
0.102390625,0.09,1.0002764,1.0001042
0.108625,0.754,1.0000726,1.0001597
0.85420626,0.612,1.6640266,1.4247664
0.38711563,0.635,1.0001591,0.9999874
0.29645938,0.951,0.9999714,1.0002089
0.16205625,0.949,0.99994534,1.0002133
0.39565313,0.828,1.0000988,1.0000479
0.40058124,0.301,1.3120544,1.1044155
0.171225,0.344,1.0000033,1.0000285
0.22836563,0.282,1.000045,0.9999644
0.81301564,0.163,3.3667204,2.8211348
0.49112812,0.95,0.9998585,0.99990517
0.47385937,0.28,1.8366901,1.3744258
0.3158219,0.39,1.0003179,1.0000046
0.58980936,0.364,1.8678674,1.4791132
0.123315625,0.565,1.0001281,1.0001259
0.87333125,0.542,1.9410596,1.6371192
0.51624376,0.612,1.0340894,1.0144402
0.067865625,0.639,1.000123,1.0001228
0.45482188,0.946,0.99988693,0.999969
0.480125,0.791,1.0004549,1.0002338
0.7423375,0.417,2.1007438,1.7186849
0.6534375,0.933,1.0057797,1.0024395
0.8969531,0.668,1.5936724,1.3806962
0.36150625,0.029,3.6513202,1.6869957
0.68282187,0.772,1.0690818,1.0333087
0.24235937,0.536,1.0001038,1.0001106
0.7216719,0.832,1.0598834,1.0290986
0.3302844,0.812,1.000111,1.0001392
0.43728438,0.381,1.1975636,1.073801
0.7785,0.095,3.6093009,2.951605
0.91590625,0.11,3.6459453,3.1407917
0.57039374,0.385,1.6963366,1.3648103
0.11818125,0.368,1.0000612,1.0000397
0.15195,0.613,1.0000985,1.0001466
0.2038375,0.458,1.0000542,1.0000867
0.006190625,0.528,1.0000685,1.0000384
0.24265938,0.481,1.0001045,1.000082
0.22856562,0.248,1.000045,0.9999337
0.41698125,0.829,1.0000669,1.0000243
0.08230625,0.872,1.0000222,1.0001514
0.79638124,0.016,3.934924,3.107519
0.6008437,0.803,1.0127064,1.0056292
0.03535625,0.923,1.0000075,1.000106
0.26955312,0.007,3.7278397,1.0752163
0.5889469,0.935,1.0011008,1.0002061
0.94184065,0.943,1.1663754,1.1104878
0.41260624,0.256,1.6328785,1.2283
0.32603437,0.927,1.00001,1.0001781
0.24877812,0.286,1.0000966,0.9999335
0.2745,0.016,3.543203,1.1019043
0.58465314,0.71,1.0331076,1.0151482
0.6987187,0.058,3.7200296,2.872311
0.8776906,0.63,1.6617124,1.4270126
0.39635313,0.852,1.0000771,1.0000558
0.5345156,0.199,2.6403048,1.9085202
0.113890626,0.096,1.0002638,1.0000921
0.20724687,0.321,1.0000039,1.0000083
0.7149125,0.723,1.1516621,1.0783247
0.7131094,0.981,1.0113003,1.0065361
0.7074906,0.392,2.1140833,1.7126168
0.5959844,0.843,1.0064038,1.0026314
0.7468031,0.915,1.0349149,1.0180031
0.13539375,0.102,1.0002301,1.0000718
0.8837562,0.925,1.1237488,1.0762312
0.24771562,0.627,1.0000924,1.000148
0.8973125,0.699,1.5126641,1.3232503
0.596575,0.007,3.9570622,2.683764
0.7616094,0.861,1.0703132,1.0357462
0.26402813,0.696,1.0000845,1.0001643
0.8199844,0.363,2.5306554,2.1022754
0.9523906,0.884,1.2443875,1.1546452
0.73768437,0.431,2.027642,1.6617205
0.9394031,0.83,1.3094802,1.1919613
0.9441625,0.857,1.2725741,1.1698303
0.6187062,0.892,1.00507,1.0019149
0.20225,0.625,1.0000656,1.000158
0.055825,0.886,1.0000207,1.000128
0.24576876,0.628,1.0000889,1.0001494
0.60727185,0.25,2.5481896,1.9519272
0.03181875,0.075,1.000158,1.0000069
0.15582187,0.361,1.000024,1.0000381
0.7082281,0.437,1.918532,1.570352
0.58449376,0.526,1.257997,1.1256593
0.6236219,0.97,1.0016584,1.0005325
0.7959344,0.531,1.7922677,1.5061356
0.6004375,0.173,2.9822636,2.2463007
0.80602187,0.131,3.4872825,2.906261
0.083221875,0.978,0.9999919,1.0001557
0.5127406,0.855,1.0004821,1.0001687
0.15208125,0.591,1.0001023,1.00014
0.06951875,0.56,1.0001363,1.0001074
0.020328125,0.935,1.0000008,1.0000877
0.03880625,0.977,1.0000023,1.000108
0.6475594,0.001,3.9946015,2.8167145
0.92885,0.131,3.5864608,3.1090462
0.334725,0.152,1.8238363,1.1792084
0.9512,0.519,2.199553,1.866445
0.29208437,0.346,1.0001581,0.99992836
0.6140031,0.55,1.2725558,1.1371738
0.6807219,0.334,2.313291,1.8460944
0.20119688,0.052,0.9998426,1.0000353
0.15576562,0.437,1.0000674,1.0000777
0.37029374,0.64,1.0001705,0.99997026
0.007815625,0.27,1.0000482,0.9998312
0.85108125,0.949,1.0811374,1.0504328
0.6305406,0.969,1.0020286,1.0007291
0.481925,0.685,1.0034143,1.0015697
0.40280625,0.871,1.0000508,1.0000519
0.57179374,0.336,1.9439682,1.5148335
0.48995626,0.698,1.0035355,1.0016453
0.40895626,0.723,1.0001278,1.0000105
0.00336875,0.522,1.0000653,1.0000315
0.50077814,0.018,3.8627923,2.368708
0.5207094,0.27,2.1206052,1.5750383
0.7142031,0.101,3.5304375,2.8045096
0.4972125,0.71,1.0036201,1.0016993
0.027628126,0.01,1.0001527,1.0001131
0.29824376,0.61,1.0002056,1.0000832
0.26807812,0.883,0.9999713,1.0002128
0.28885314,0.706,1.0001258,1.0001462
0.6929656,0.559,1.4404781,1.246271
0.93027186,0.304,2.9798505,2.5612087
0.4204125,0.591,1.0019222,1.0007635
0.48744375,0.863,1.0001364,1.0000417
0.54485,0.158,2.945305,2.1166244
0.1666625,0.706,1.0000545,1.0001756
0.17904063,0.786,1.0000038,1.0001966
0.10385312,0.086,1.000289,1.0001173
0.21855937,0.528,1.0000759,1.0001174
0.5506469,0.427,1.4507532,1.2201198
0.60587186,0.353,1.9799463,1.5608678
0.31939688,0.8,1.0001059,1.0001487
0.279325,0.47,1.0002006,1.0000252
0.78466564,0.565,1.6488298,1.4010755
0.85775,0.683,1.474642,1.2919236
0.0115375,0.269,1.0000454,0.99983984
0.33990937,0.841,1.0000947,1.0001372
0.7955656,0.604,1.5547833,1.3379761
0.71485937,0.179,3.1642764,2.5476725
0.95164686,0.353,2.8293216,2.429162
0.85142815,0.538,1.9035286,1.6028588
0.45525312,0.123,2.9531622,1.8920346
0.78027815,0.895,1.0625887,1.0330404
0.6475469,0.306,2.359369,1.8553915
0.5392,0.121,3.1806521,2.2407677
0.42151874,0.17,2.3863354,1.5465384
0.90308124,0.644,1.6749954,1.4408418
0.00325625,0.191,1.0000412,0.99977857
0.6600469,0.726,1.0840219,1.0406774
0.7758875,0.284,2.7861552,2.2947338
0.4719375,0.539,1.0381863,1.0148627
0.799325,0.388,2.3743103,1.9610454
0.4013625,0.672,1.0001546,1.0000101
0.17793438,0.797,0.99999845,1.0001982
0.22386874,0.246,1.0000343,0.99993974
0.43055937,0.34,1.3029511,1.1124722
0.7287969,0.679,1.2402117,1.1296241
0.81352186,0.773,1.2182453,1.1221539
0.5980125,0.466,1.4679391,1.2428268
0.63979375,0.468,1.5896066,1.3267369
0.88545,0.329,2.8058426,2.3778453
0.45114374,0.02,3.8264537,2.1668885
0.10520312,0.123,1.0001901,1.0000275
0.19299063,0.819,0.9999784,1.0002066
0.6168187,0.462,1.5406728,1.2903334
0.5461063,0.126,3.1610832,2.2468126
0.82345,0.653,1.4809394,1.2918214
0.6748437,0.902,1.0135539,1.0060447
0.2301,0.751,1.0000166,1.0001944
0.17919375,0.427,1.0000446,1.0000728
0.7631094,0.185,3.2097712,2.6404185
0.6463063,0.622,1.1953044,1.0985737
0.78910315,0.404,2.2798774,1.8793508
0.3321719,0.853,1.0000747,1.0001515
0.31515938,0.235,1.0686269,1.0131404
0.64439064,0.308,2.3393872,1.8382001
0.1353375,0.568,1.0001184,1.0001293
0.1566125,0.767,1.0000303,1.0001849
0.60745,0.849,1.0075788,1.0031229
0.14606562,0.022,1.0000632,1.0003211
0.20520625,0.823,0.99997306,1.0002097
0.011528125,0.616,1.0000658,1.0000724
0.78353435,0.303,2.7160509,2.2401125
0.04205,0.681,1.0000916,1.0001105
0.013940625,0.81,1.0000211,1.0000865
0.5279844,0.9,1.0003052,1.0000262
0.451775,0.46,1.0833144,1.0315957
0.79060626,0.474,1.9929879,1.6545196
0.5086375,0.343,1.6476525,1.3053215
0.9462094,0.668,1.6952598,1.4627064
0.92372185,0.592,1.8833991,1.6029583
0.2335625,0.482,1.0000877,1.0000887
0.92855,0.209,3.3243077,2.8831747
0.35547188,0.449,1.0016221,1.0005045
0.15290312,0.15,1.0001023,0.9999897
0.8746281,0.873,1.1643972,1.0961552
0.68314373,0.949,1.008571,1.0041995
0.6994906,0.486,1.6984471,1.4146088
0.17658438,0.894,0.99995136,1.0002131
0.2452125,0.855,0.9999665,1.0002148
0.04693125,0.87,1.0000252,1.0001194
0.8206469,0.341,2.627241,2.1857316
0.61164373,0.884,1.0048964,1.0018451
0.94715935,0.127,3.6114917,3.1446664
0.89118123,0.986,1.0969675,1.0661126
0.012596875,0.82,1.0000166,1.0000846
0.14886563,0.805,1.0000149,1.0001878
0.94430625,0.782,1.4079812,1.2570792
0.35511562,0.57,1.0001731,0.9999482
0.40695,0.793,1.0001049,1.0000225
0.9491906,0.87,1.2599682,1.1631514
0.32127813,0.475,1.0001928,0.9999375
0.9300187,0.918,1.1769834,1.1127876
0.030290624,0.008,1.0001625,1.0001242
0.24432187,0.962,0.99993235,1.0002325
0.52243125,0.226,2.4156322,1.7516769
0.777775,0.298,2.726463,2.2451308
0.9545219,0.465,2.4076195,2.0465937
0.4119375,0.909,1.0000007,1.0000457
0.92485,0.119,3.6224473,3.132582
0.1394,0.54,1.0001144,1.0001203
0.75909376,0.955,1.0280433,1.0161104
0.3120375,0.365,1.0004853,1.0000639
0.86441565,0.404,2.4564908,2.0582845
0.14339375,0.772,1.0000386,1.00018
0.42711875,0.53,1.01073,1.0038229
0.91029686,0.578,1.9005234,1.6136274
0.052865624,0.463,1.0001125,1.0000614
0.8266,0.266,2.960862,2.4830697
0.03314375,0.638,1.0000921,1.0000981
0.52542186,0.856,1.0007299,1.0002548
0.5758344,0.533,1.2221375,1.1061449
0.7170906,0.367,2.2567296,1.8255495
0.42952812,0.999,0.9999192,1.0000207
0.64322186,0.836,1.0184096,1.0081233
0.7031281,0.12,3.430033,2.7231429
0.64991564,0.119,3.370669,2.5928056
0.008240625,0.691,1.0000442,1.0000786
0.9187437,0.377,2.6768243,2.2751427
0.7620594,0.5,1.817757,1.5158037
0.5043906,0.298,1.8758131,1.4222243
0.0360625,0.751,1.0000613,1.0001094
0.00021875,0.57,1.0000551,1.0000458
0.35415313,0.461,1.0010058,1.0002928
0.7476125,0.665,1.3010694,1.1674837
0.82952815,0.974,1.0573592,1.0368177
0.72396874,0.906,1.028218,1.0138745
0.73537815,0.213,3.0371735,2.4699526
0.011678125,0.459,1.0000755,1.0000094
0.0609125,0.02,1.0004096,1.0002415
0.0365875,0.769,1.0000554,1.00011
0.3694375,0.612,1.000163,0.9999607
0.460275,0.088,3.262385,2.0434513
0.070425,0.245,1.0000304,0.9999381
0.19600312,0.495,1.0000652,1.0001055
0.93925,0.197,3.3770707,2.9387007
0.63870937,0.113,3.388151,2.582093
0.27518126,0.56,1.0001707,1.0000901
0.19041875,0.826,0.99997616,1.0002072
0.71715,0.115,3.4685986,2.7706788
0.1453125,0.839,0.9999994,1.0001909
0.40737188,0.217,1.8837918,1.3178089
0.92938125,0.38,2.6852732,2.2870338
0.6941469,0.919,1.0152142,1.0072005
0.091675,0.278,1.0000309,0.9999774
0.5793844,0.431,1.5345919,1.2752637
0.72006875,0.429,1.9866011,1.6242824
0.63714373,0.348,2.1102605,1.6694486
0.0318375,0.311,1.0000459,0.999923
0.9546,0.756,1.4828482,1.3098191
0.55750626,0.228,2.5263565,1.8725632
0.4196281,0.222,1.9282876,1.3526192
0.5312125,0.66,1.022829,1.0099951
0.7499156,0.711,1.220308,1.1193357
0.77176875,0.0,4.0001903,3.0704849
0.6641,0.446,1.7494466,1.4372023
0.7491406,0.068,3.7033274,2.95619
0.8920625,0.848,1.2162266,1.1282688
0.17034063,0.545,1.0000881,1.0001264
0.6156531,0.739,1.0389813,1.0180453
0.2412375,0.479,1.0001014,1.000082
0.8451281,0.375,2.5349154,2.1178265
0.1543375,0.381,1.0000372,1.000049
0.68505,0.989,1.0063436,1.0034841
0.2903125,0.004,3.9246469,1.219922
0.22655937,0.175,1.0000215,0.99985915
0.28968439,0.302,1.0003533,0.99999005
0.17868125,0.306,0.99998534,1.000007
0.071865626,0.888,1.0000188,1.0001429
0.8420375,0.647,1.5361186,1.3321846
0.43836874,0.096,3.1377223,1.9147631
0.04529375,0.693,1.0000899,1.0001141
0.0168875,0.457,1.0000794,1.0000166
0.36399376,0.654,1.0001931,0.99998504
0.04005625,0.777,1.0000548,1.0001134
0.7831031,0.748,1.2122897,1.116609
0.65998435,0.743,1.0703927,1.0337459
0.42040938,0.542,1.0061374,1.0022154
0.79715,0.653,1.4263394,1.2520775
0.049371876,0.029,1.0003438,1.0001805
0.15223125,0.818,1.0000052,1.0001915
0.40495938,0.39,1.0822713,1.0277396
0.9583344,0.666,1.7259785,1.487792
0.7549344,0.15,3.3534591,2.7435124
0.23055312,0.558,1.0000864,1.000127
0.32461876,0.562,1.0002388,0.99999017
0.7513969,0.043,3.81187,3.0030448
0.33819687,0.289,1.0575783,1.0138848
0.47884062,0.027,3.7832637,2.273905
0.38039687,0.009,3.901562,1.823497
0.8224125,0.208,3.195997,2.6868887
0.69869685,0.962,1.010019,1.0053287
0.16296875,0.901,0.99995756,1.000208
0.75093436,0.521,1.7119925,1.4377087
0.5787031,0.243,2.5021298,1.8851451
0.21645,0.9,0.99993765,1.0002239
0.58193123,0.725,1.0256602,1.0117257
0.371425,0.493,1.0014057,1.0004594
0.6656344,0.465,1.6790822,1.391503
0.59151876,0.293,2.2516983,1.730217
0.040090624,0.83,1.0000361,1.0001134
0.72209686,0.299,2.5953705,2.0963097
0.94409686,0.347,2.8391747,2.4352882
0.3097031,0.392,1.0002023,0.9999508
0.55263126,0.084,3.4476147,2.412638
0.058978125,0.135,1.0001082,0.9999463
0.94862187,0.75,1.4859319,1.3111705
0.59659064,0.137,3.1880386,2.3743496
0.034296874,0.893,1.0000136,1.0001059
0.12338125,0.056,1.000336,1.0002253
0.35073438,0.556,1.0001764,0.9999449
0.6093594,0.717,1.046158,1.0214151
0.5397437,0.364,1.6758336,1.3376422
0.41516563,0.014,3.8645985,2.005285
0.77585936,0.26,2.8949273,2.387773
0.20465937,0.956,0.9999269,1.00023
0.2617531,0.716,1.0000684,1.0001729
0.36713436,0.804,1.0001435,1.00008
0.5990844,0.038,3.7723577,2.6610987
0.84635,0.491,2.0659757,1.7283833
0.29295,0.243,1.0072105,1.0012639
0.17790624,0.341,0.9999995,1.0000263
0.2137,0.507,1.0000709,1.0001087
0.13340938,0.616,1.0001138,1.0001428
0.43330312,0.309,1.4519639,1.1723675
0.48399064,0.843,1.0001993,1.000081
0.39907813,0.583,1.0007253,1.0002596
0.7981656,0.739,1.2497044,1.1401572
0.48547187,0.325,1.6339836,1.2844379
0.85538435,0.8,1.2364886,1.1365718
0.8008969,0.164,3.348706,2.7937307
0.28100625,0.477,1.0002037,1.0000267
0.50438124,0.146,2.9208114,2.0105038
0.10974687,0.709,1.0000949,1.0001539
0.48172188,0.942,0.9998701,0.99992603
0.8786719,0.854,1.1916513,1.11218
0.5583094,0.727,1.0151713,1.0069002
0.5923344,0.309,2.1651359,1.6730673
0.5798156,0.884,1.0022254,1.0007278
0.77404374,0.249,2.9411993,2.4258735
0.022275,0.901,1.0000063,1.0000919
0.69170624,0.904,1.0176373,1.0081689
0.60630625,0.698,1.0553943,1.0257607
0.53410935,0.937,1.0000851,0.9999046
0.3535375,0.17,1.8483714,1.2202511
0.48611876,0.993,0.99980915,0.9998866
0.01961875,0.81,1.0000266,1.0000929
0.3701,0.469,1.0025645,1.000843
0.81191874,0.746,1.2593926,1.147118
0.3407969,0.665,1.0002288,1.000037
0.023315625,0.349,1.0000584,0.99994147
0.07898437,0.779,1.0000678,1.000144
0.24120624,0.902,0.99994326,1.0002238
0.92626876,0.234,3.2329633,2.7971673
0.8515875,0.708,1.4035139,1.2432337
0.49371874,0.722,1.0025476,1.0012343
0.5339125,0.606,1.0532062,1.0230968
0.118690625,0.601,1.000127,1.000135
0.31385,0.176,1.3056581,1.0539758
0.18331562,0.999,0.999935,1.000229
0.7559031,0.038,3.8348608,3.0179286
0.89452815,0.906,1.1511278,1.0920736
0.8433969,0.889,1.1167676,1.0664486
0.460525,0.732,1.000585,1.0003132
0.5117375,0.886,1.0002234,1.0000346
0.74324685,0.525,1.6778139,1.4121084
0.2545875,0.84,0.9999819,1.0002093
0.93544376,0.166,3.4773548,3.0248764
0.094946876,0.13,1.0001658,1.0000074
0.03821875,0.796,1.0000465,1.0001119
0.05576875,0.711,1.0000917,1.0001234
0.019340625,0.011,1.0000778,1.0000814
0.3316125,0.136,1.9806461,1.2046735
0.04318125,0.822,1.0000402,1.0001163
0.62617815,0.527,1.3605912,1.1876987
0.09384687,0.0,1.0004292,1.0003732
0.62880313,0.568,1.2656078,1.1351473
0.2503656,0.609,1.0001025,1.0001389
0.29745936,0.539,1.0002288,1.0000368
0.62446874,0.531,1.3453461,1.1788137
0.27229062,0.764,1.0000534,1.0001816
0.29925,0.997,0.99997115,1.0002148
0.27035937,0.079,1.3575981,1.0187101
0.7746969,0.442,2.0813718,1.7168055
0.8901219,0.705,1.4838027,1.3022443
0.69598436,0.45,1.8288214,1.5025777
0.8170781,0.131,3.4974399,2.9268134
0.022171875,0.078,1.0001255,0.9999706
0.56070626,0.84,1.0027552,1.0010965
0.38190624,0.774,1.0001525,1.0000409
0.12087812,0.43,1.000095,1.0000722
0.38592812,0.157,2.2781603,1.419756
0.6105594,0.299,2.2818058,1.7682776
0.06888125,0.292,1.0000386,0.99996454
0.46484375,0.294,1.7035795,1.3029511
0.19255938,0.93,0.9999337,1.0002235
0.73805624,0.872,1.0486771,1.0239604
0.37745938,0.091,2.960959,1.6122378
0.15247187,0.31,1.0000011,1.0000108
0.19501875,0.453,1.0000514,1.0000851
0.15613125,0.023,0.9999315,1.00029
0.2312125,0.633,1.0000718,1.0001572
0.7349875,0.05,3.7747467,2.961202
